
(31.10.2024 16:48 PM)
(3 amostras, de cada letra: W, S e L)
Erro inicial(ANTES DO TREINAMENTO): 7.429170899647493
MLP.js:366 Epoch 0, Erro total: 7.0020391124980055
MLP.js:366 Epoch 1, Erro total: 6.6803832090464885
MLP.js:366 Epoch 2, Erro total: 6.435449536572263
MLP.js:366 Epoch 3, Erro total: 6.244466409031909
MLP.js:366 Epoch 4, Erro total: 6.090659146444684
MLP.js:366 Epoch 5, Erro total: 5.961803211934285
MLP.js:366 Epoch 6, Erro total: 5.8484095386595465
MLP.js:366 Epoch 7, Erro total: 5.742606026959244
MLP.js:366 Epoch 8, Erro total: 5.639543851568802
MLP.js:366 Epoch 9, Erro total: 5.5413186282660885
MLP.js:366 Epoch 10, Erro total: 5.454699844467669
MLP.js:366 Epoch 11, Erro total: 5.381051296488027
MLP.js:366 Epoch 12, Erro total: 5.316299753477519
MLP.js:366 Epoch 13, Erro total: 5.256442053284917
MLP.js:366 Epoch 14, Erro total: 5.198820837487369
MLP.js:366 Epoch 15, Erro total: 5.141567318431275
MLP.js:366 Epoch 16, Erro total: 5.08303671233616
MLP.js:366 Epoch 17, Erro total: 5.021389146824632
MLP.js:366 Epoch 18, Erro total: 4.95424871849691
MLP.js:366 Epoch 19, Erro total: 4.8785566958905235
MLP.js:366 Epoch 20, Erro total: 4.791228433127104
MLP.js:366 Epoch 21, Erro total: 4.691700001496023
MLP.js:366 Epoch 22, Erro total: 4.585191889986609
MLP.js:366 Epoch 23, Erro total: 4.480359812085845
MLP.js:366 Epoch 24, Erro total: 4.382270137922849
MLP.js:366 Epoch 25, Erro total: 4.291587270863463
MLP.js:366 Epoch 26, Erro total: 4.20759370595593
MLP.js:366 Epoch 27, Erro total: 4.129295825146007
MLP.js:366 Epoch 28, Erro total: 4.055505333194684
MLP.js:366 Epoch 29, Erro total: 3.9849470137257557
MLP.js:366 Epoch 30, Erro total: 3.9163467201817213
MLP.js:366 Epoch 31, Erro total: 3.8484119179068004
MLP.js:366 Epoch 32, Erro total: 3.77974306565568
MLP.js:366 Epoch 33, Erro total: 3.7087372817631112
MLP.js:366 Epoch 34, Erro total: 3.6335681044956156
MLP.js:366 Epoch 35, Erro total: 3.5524136320358664
MLP.js:366 Epoch 36, Erro total: 3.464215218143465
MLP.js:366 Epoch 37, Erro total: 3.370024592917536
MLP.js:366 Epoch 38, Erro total: 3.2738938724491735
MLP.js:366 Epoch 39, Erro total: 3.18153101967386
MLP.js:366 Epoch 40, Erro total: 3.0974075799503438
MLP.js:366 Epoch 41, Erro total: 3.023199433465291
MLP.js:366 Epoch 42, Erro total: 2.95827745391669
MLP.js:366 Epoch 43, Erro total: 2.9010172816550464
MLP.js:366 Epoch 44, Erro total: 2.8497796792594987
MLP.js:366 Epoch 45, Erro total: 2.803270513952073
MLP.js:366 Epoch 46, Erro total: 2.760550312979862
MLP.js:366 Epoch 47, Erro total: 2.720946798675627
MLP.js:366 Epoch 48, Erro total: 2.6839708123625874
MLP.js:366 Epoch 49, Erro total: 2.6492560438018775
MLP.js:366 Epoch 50, Erro total: 2.6165193898656236
MLP.js:366 Epoch 51, Erro total: 2.585535408053573
MLP.js:366 Epoch 52, Erro total: 2.5561197371002806
MLP.js:366 Epoch 53, Erro total: 2.5281181226896106
MLP.js:366 Epoch 54, Erro total: 2.501398962948812
MLP.js:366 Epoch 55, Erro total: 2.475848096239041
MLP.js:366 Epoch 56, Erro total: 2.451365043452166
MLP.js:366 Epoch 57, Erro total: 2.4278602108599654
MLP.js:366 Epoch 58, Erro total: 2.4052527364484724
MLP.js:366 Epoch 59, Erro total: 2.3834687699089327
MLP.js:366 Epoch 60, Erro total: 2.3624400416592124
MLP.js:366 Epoch 61, Erro total: 2.3421026153687143
MLP.js:366 Epoch 62, Erro total: 2.322395740496339
MLP.js:366 Epoch 63, Erro total: 2.3032607311694857
MLP.js:366 Epoch 64, Erro total: 2.2846397973968293
MLP.js:366 Epoch 65, Erro total: 2.2664747439910333
MLP.js:366 Epoch 66, Erro total: 2.2487054293078557
MLP.js:366 Epoch 67, Erro total: 2.231267834636068
MLP.js:366 Epoch 68, Erro total: 2.2140915257465323
MLP.js:366 Epoch 69, Erro total: 2.197096172508076
MLP.js:366 Epoch 70, Erro total: 2.180186597387908
MLP.js:366 Epoch 71, Erro total: 2.163245487232327
MLP.js:366 Epoch 72, Erro total: 2.1461223065189996
MLP.js:366 Epoch 73, Erro total: 2.1286158599910294
MLP.js:366 Epoch 74, Erro total: 2.110445888565142
MLP.js:366 Epoch 75, Erro total: 2.0912050278074688
MLP.js:366 Epoch 76, Erro total: 2.0702741875625863
MLP.js:366 Epoch 77, Erro total: 2.0466669515716434
